DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
25,250.0869015,36.44394004,18.513,0.018,16.799,0.014,16.145,0.02,15.988,0.036,15.931,0.039
144,250.0871397,36.45972848,99.999,9.999,23.169,0.18,21.785,0.079,21.396,0.08,99.999,9.999
36,250.0887526,36.44377663,22.209,0.342,22.149,0.076,21.89,0.108,21.942,0.164,20.451,0.194
125,250.0904108,36.45399075,99.999,9.999,21.056,0.034,20.53,0.038,20.263,0.041,20.298,0.227
90,250.0904748,36.44945853,99.999,9.999,23.366,0.221,21.823,0.094,20.726,0.06,20.556,0.256
35,250.0922628,36.44017713,99.999,9.999,22.58,0.131,21.344,0.049,20.83,0.059,20.661,0.264
107,250.0944002,36.44785653,99.999,9.999,22.676,0.142,21.539,0.084,20.13,0.038,19.504,0.103
15,250.0977427,36.43175173,21.868,0.235,20.8,0.029,20.379,0.033,20.097,0.039,20.09,0.167
158,250.1060081,36.44192894,99.999,9.999,99.999,9.999,22.444,0.115,20.584,0.05,19.312,0.084
201,250.1063247,36.44745916,21.548,0.199,20.663,0.123,20.346,0.133,20.24,0.137,19.978,0.19
57,250.1069341,36.4274324,20.74,0.077,19.81,0.015,19.508,0.031,19.389,0.028,19.372,0.072
75,250.1073847,36.42959266,22.413,0.31,20.691,0.029,19.811,0.025,19.403,0.035,19.314,0.08
314,250.1075924,36.45876302,99.999,9.999,99.999,9.999,22.384,0.163,20.585,0.051,19.874,0.147
89,250.1085412,36.43087551,99.999,9.999,22.404,0.094,21.564,0.061,21.367,0.08,20.585,0.282
433,250.1085917,36.47162652,21.273,0.129,20.411,0.023,20.045,0.041,19.828,0.048,19.79,0.131
438,250.1099741,36.47048345,99.999,9.999,21.311,0.037,20.039,0.029,19.524,0.049,19.185,0.068
166,250.1104682,36.4381525,99.999,9.999,21.81,0.125,20.283,0.13,19.601,0.115,19.162,0.123
80,250.1111492,36.42673972,22.387,0.333,22.222,0.077,21.685,0.083,21.253,0.062,99.999,9.999
350,250.1112547,36.45940896,21.362,0.142,19.073,0.015,17.928,0.018,17.514,0.034,17.28,0.045
441,250.1118295,36.46900161,99.999,9.999,21.854,0.101,21.213,0.096,21.045,0.1,21.01,0.299
229,250.1133144,36.4432011,99.999,9.999,21.583,0.058,20.94,0.048,20.762,0.055,20.82,0.29
414,250.1146125,36.4640843,99.999,9.999,21.906,0.066,21.263,0.067,20.871,0.057,20.933,0.283
395,250.1152936,36.46108948,99.999,9.999,21.468,0.044,20.258,0.03,19.771,0.048,19.414,0.075
218,250.1158444,36.43971098,19.844,0.038,17.647,0.011,16.7,0.012,16.389,0.025,16.226,0.031
257,250.1163741,36.44356973,21.635,0.151,20.561,0.03,20.18,0.03,20.018,0.032,20.015,0.145
427,250.1165763,36.46269738,21.065,0.101,19.725,0.021,19.038,0.031,18.799,0.029,18.644,0.058
566,250.1165955,36.47800408,21.995,0.251,20.976,0.03,20.514,0.032,20.314,0.047,20.627,0.313
355,250.1171642,36.4543576,22.298,0.303,19.517,0.02,18.132,0.012,17.444,0.05,17.147,0.035
419,250.1172761,36.46161795,99.999,9.999,22.158,0.07,21.183,0.049,20.788,0.049,20.517,0.194
461,250.1173634,36.46530904,21.304,0.094,20.26,0.024,19.839,0.026,19.724,0.036,19.793,0.119
428,250.1188853,36.46038393,99.999,9.999,23.097,0.164,21.788,0.082,21.051,0.091,20.98,0.366
54,250.1190727,36.41485129,20.25,0.057,18.622,0.011,17.95,0.015,17.755,0.024,17.649,0.026
597,250.119386,36.47793043,20.714,0.072,19.934,0.017,19.595,0.031,19.429,0.03,19.52,0.094
