DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
3024,114.2995012,21.5005367,21.789,0.162,19.277,0.03,17.91,0.052,16.84,0.038,16.29,0.03
3063,114.3023414,21.51018231,21.88,0.145,21.184,0.08,20.467,0.087,20.239,0.099,19.847,0.13
2918,114.3086166,21.49664377,99.999,9.999,22.733,0.185,21.249,0.082,20.761,0.085,20.329,0.142
2997,114.3102441,21.50795888,99.999,9.999,23.318,0.353,21.612,0.079,21.088,0.084,20.826,0.294
2986,114.3143434,21.51033756,22.589,0.31,21.681,0.075,20.913,0.084,20.728,0.125,20.381,0.202
2862,114.3146944,21.49556595,99.999,9.999,20.484,0.034,19.364,0.036,18.951,0.048,18.758,0.053
2872,114.3172046,21.49910451,99.999,9.999,21.815,0.085,20.34,0.054,19.802,0.075,19.41,0.079
2803,114.3181231,21.49115435,99.999,9.999,22.225,0.112,20.413,0.076,19.902,0.112,19.445,0.085
2921,114.3190806,21.50704954,21.867,0.142,20.288,0.027,19.7,0.04,19.528,0.042,19.447,0.067
2982,114.3206197,21.51606751,20.183,0.036,18.393,0.016,17.733,0.036,17.485,0.032,17.341,0.026
2685,114.3241955,21.47890554,99.999,9.999,23.064,0.211,21.811,0.094,21.221,0.081,20.396,0.161
2695,114.3264058,21.48262802,99.999,9.999,23.036,0.193,22.032,0.126,21.746,0.101,99.999,9.999
2726,114.326915,21.4876554,99.999,9.999,21.675,0.058,21.026,0.058,20.886,0.076,20.758,0.215
2856,114.3272423,21.50721435,18.646,0.018,16.502,0.014,15.623,0.038,15.302,0.044,15.139,0.031
3061,114.3275125,21.53457612,19.574,0.026,18.429,0.012,18.027,0.031,17.877,0.025,17.813,0.023
2828,114.3283434,21.50458748,99.999,9.999,23.079,0.196,21.339,0.065,20.798,0.061,20.439,0.172
3015,114.3286897,21.52842936,16.156,0.011,15.012,0.009,14.794,0.035,14.766,0.027,14.767,0.025
2735,114.3292271,21.49151294,99.999,9.999,22.13,0.111,20.763,0.09,20.274,0.107,19.919,0.1
2699,114.3293938,21.48609734,21.695,0.131,20.783,0.071,20.174,0.083,19.957,0.1,19.777,0.086
2680,114.3293994,21.48361481,99.999,9.999,20.267,0.035,18.877,0.046,18.24,0.036,17.843,0.035
2603,114.3305661,21.47326804,20.956,0.075,19.021,0.024,18.195,0.053,17.868,0.04,17.71,0.037
3070,114.3316044,21.53945775,99.999,9.999,22.349,0.116,20.679,0.043,19.6,0.034,19.213,0.1
2961,114.3318758,21.52473311,99.999,9.999,22.208,0.116,20.751,0.051,19.702,0.031,19.106,0.056
2820,114.333034,21.50804694,99.999,9.999,20.927,0.04,19.897,0.032,19.497,0.039,19.292,0.062
2849,114.3344566,21.51314534,19.959,0.031,18.96,0.016,18.639,0.031,18.555,0.033,18.543,0.035
2991,114.3348815,21.53075728,99.999,9.999,22.847,0.152,21.473,0.075,20.314,0.031,19.701,0.076
2941,114.3350659,21.52534648,22.559,0.34,19.976,0.024,18.859,0.026,18.434,0.033,18.139,0.031
2860,114.3352326,21.51529358,99.999,9.999,22.206,0.12,21.43,0.059,21.213,0.076,21.188,0.331
2658,114.3353761,21.48608411,99.999,9.999,99.999,9.999,21.784,0.114,20.837,0.096,20,0.118
2768,114.337744,21.50432657,99.999,9.999,22.407,0.113,21.672,0.085,21.475,0.083,21.2,0.278
2935,114.338463,21.52776817,21.423,0.113,20.233,0.023,19.894,0.032,19.748,0.035,19.628,0.075
3027,114.3387871,21.53894971,99.999,9.999,22.55,0.134,21.069,0.052,20.449,0.043,20.197,0.088
2730,114.3399531,21.50128917,99.999,9.999,23.541,0.364,21.884,0.115,21.092,0.064,20.757,0.209
2714,114.3400048,21.49925435,22.871,0.361,19.72,0.023,18.339,0.033,17.7,0.042,17.358,0.021
2769,114.3404239,21.50695218,18.869,0.017,17.107,0.014,16.43,0.037,16.198,0.033,16.067,0.02
2855,114.3413745,21.52092152,99.999,9.999,22.537,0.141,20.99,0.062,20.559,0.083,20.058,0.122
2637,114.341864,21.49012291,99.999,9.999,22.534,0.149,20.815,0.066,20.169,0.067,19.732,0.089
2565,114.3450092,21.48289282,99.999,9.999,22.467,0.154,20.814,0.058,20.025,0.042,19.535,0.061
2840,114.3453097,21.52287862,20.368,0.044,18.296,0.009,17.429,0.028,17.11,0.032,16.934,0.023
2866,114.345881,21.52668161,22.688,0.351,20.899,0.073,19.496,0.091,18.961,0.109,18.673,0.093
2437,114.3460062,21.46711309,99.999,9.999,23.488,0.324,22.265,0.17,20.731,0.049,19.818,0.102
2353,114.3467996,21.45838285,21.015,0.071,19.671,0.023,19.129,0.051,18.961,0.049,18.918,0.058
2413,114.3474015,21.46564106,20.532,0.051,18.727,0.02,17.971,0.05,17.677,0.057,17.536,0.041
2767,114.3474125,21.5137198,18.62,0.014,17.394,0.008,16.96,0.034,16.815,0.03,16.741,0.016
2879,114.3480171,21.5300685,22.674,0.301,20.133,0.018,18.978,0.028,18.495,0.02,18.27,0.03
2574,114.3480213,21.48681339,99.999,9.999,22.445,0.149,20.946,0.102,20.349,0.121,19.7,0.096
2489,114.3483722,21.47647431,19.807,0.029,18.205,0.017,17.62,0.045,17.385,0.039,17.277,0.029
2925,114.3499105,21.53763783,99.999,9.999,22.452,0.124,21.051,0.052,20.203,0.031,19.647,0.072
2513,114.3507247,21.48181922,99.999,9.999,22.979,0.187,21.823,0.097,21.622,0.103,21.376,0.334
2280,114.3523694,21.45225159,20.442,0.047,19.33,0.015,99.999,9.999,99.999,9.999,18.854,0.061
2311,114.3524868,21.45764544,18.269,0.013,16.626,0.018,16.041,0.058,15.818,0.044,15.756,0.037
2332,114.3526859,21.46144485,99.999,9.999,22.806,0.175,21.91,0.131,20.93,0.05,20.609,0.159
2615,114.3530914,21.49755706,99.999,9.999,23.321,0.286,22.117,0.128,20.605,0.045,19.867,0.103
