DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
387,290.0144686,37.89373982,99.999,9.999,21.71,0.07,99.999,9.999,20.165,0.143,19.825,0.124
112,290.0155584,37.88957412,99.999,9.999,21.328,0.043,20.266,0.023,19.974,0.049,19.67,0.125
541,290.0163696,37.89591683,99.999,9.999,22.516,0.126,21.442,0.137,20.586,0.067,20.486,0.202
649,290.0202343,37.89618815,20.883,0.094,19.639,0.024,19.138,0.016,18.978,0.043,18.917,0.046
1034,290.0207516,37.90259103,99.999,9.999,22.757,0.147,21.163,0.06,19.899,0.043,19.131,0.065
872,290.0207837,37.89962675,99.999,9.999,20.836,0.033,20.088,0.028,19.888,0.045,19.646,0.109
1085,290.0211147,37.90321746,99.999,9.999,22.662,0.136,21.465,0.059,20.801,0.065,20.379,0.245
1356,290.022359,37.90774425,99.999,9.999,20.388,0.024,99.999,9.999,99.999,9.999,18.467,0.214
1269,290.0226622,37.90588612,99.999,9.999,21.641,0.046,20.222,0.033,19.697,0.038,19.12,0.075
1344,290.0235895,37.90699618,99.999,9.999,19.528,0.026,18.268,0.015,17.86,0.038,17.548,0.025
269,290.024082,37.88845834,99.999,9.999,21.648,0.058,20.588,0.042,20.106,0.064,19.527,0.106
210,290.0244713,37.88749282,99.999,9.999,22.596,0.13,21.04,0.066,20.335,0.061,19.988,0.171
508,290.0249152,37.89210324,99.999,9.999,22.418,0.165,20.994,0.089,20.139,0.086,20.057,0.155
1130,290.0250012,37.90271961,20.305,0.055,18.49,0.023,17.676,0.012,17.344,0.044,17.151,0.024
863,290.0250731,37.89786027,99.999,9.999,21.355,0.065,19.963,0.025,19.529,0.026,19.336,0.085
323,290.0252468,37.88873691,99.999,9.999,21.266,0.05,19.925,0.026,19.393,0.032,19.132,0.055
770,290.0254195,37.89608223,21.799,0.264,18.983,0.085,18.271,0.078,17.962,0.098,17.897,0.063
847,290.0270459,37.89682955,99.999,9.999,22.495,0.16,21.089,0.125,19.698,0.047,19.031,0.066
137,290.0272956,37.88552283,20.01,0.047,18.675,0.029,18.021,0.015,17.78,0.03,17.681,0.037
1706,290.027413,37.9118539,19.281,0.033,17.686,0.018,17.022,0.014,16.784,0.044,16.669,0.019
818,290.0279034,37.89603573,99.999,9.999,20.925,0.117,19.65,0.109,19.686,0.119,19.431,0.118
1027,290.0291295,37.89921368,17.282,0.019,15.405,0.02,14.715,0.018,14.478,0.052,14.389,0.027
662,290.0292868,37.89298175,99.999,9.999,21.539,0.066,20.289,0.041,18.757,0.201,19.7,0.136
592,290.0296821,37.89162657,99.999,9.999,21.986,0.103,20.698,0.09,20.326,0.083,20.059,0.169
796,290.0299357,37.89478686,99.999,9.999,21.321,0.046,19.904,0.028,19.396,0.046,19.196,0.084
348,290.030031,37.88721006,21.682,0.208,19.362,0.025,17.772,0.013,16.254,0.03,15.421,0.011
877,290.0310165,37.89588929,21.549,0.146,20.34,0.032,19.744,0.02,19.56,0.045,19.515,0.099
